Ticker,Entry Z,Window,Strategy Return,Buy Hold Return,Outperformance,Sharpe,Sortino,Profit Factor,Max Drawdown,Trades,Closed Trades,Win Rate,Avg Trade Return,Exposure Time,Return Per Exposure,Score
NVDA,-2.0,10,0.20663082691614099,6.451810935522009,-6.245180108605869,0.34954931097180764,0.2178129022991016,1.161447443525924,-0.3069836343036625,15,14,0.7142857142857143,0.016727052897642973,0.13463751438434982,1.534719560599372,-10.05535090579183
AMZN,-1.5,50,-0.14529628146022178,0.2774213631103417,-0.4227176445705635,-0.04998263785264618,-0.03912519890938958,0.9842498373225477,-0.445445244927843,6,6,0.5,-0.029505244164972355,0.29191797346200243,-0.4977298236798506,-999.0
AMZN,-2.0,10,-0.07965557815712032,0.20858071776391052,-0.28823629592103084,-0.03698009944105888,-0.02021250864560668,0.9835646392666708,-0.36488279656867917,20,20,0.55,-0.0011640355010332005,0.17261219792865362,-0.4614713161235837,-999.0
AMZN,-2.0,50,-0.030772522820264103,0.2774213631103417,-0.3081938859306058,0.070258361652739,0.055007039646562825,1.0258273956926067,-0.31565347510554,5,5,0.4,-0.002065999304857269,0.2074788902291918,-0.1483164035930171,-999.0
AMD,-2.0,50,0.8758106584542553,0.32173421214756037,0.554076446306695,0.7925579593336158,0.5694495617475556,1.309205147052591,-0.23033499960603976,9,8,0.75,0.0783242176058611,0.24728588661037396,3.54169285784672,-999.0
AMZN,-2.5,10,-0.006896640009435795,0.20858071776391052,-0.2154773577733463,-0.04353945921044109,-0.00823608091594872,0.95384954403591,-0.07317682188589614,2,2,0.5,-0.0023353149232295256,0.026467203682393557,-0.26057305079129156,-999.0
AMD,-2.5,50,0.23501629775568622,0.32173421214756037,-0.08671791439187415,0.43954735665017686,0.1970965955146236,1.2599814110693532,-0.23033499960603976,3,3,0.6666666666666666,0.07575377703612989,0.08685162846803378,2.7059515394369984,-999.0
META,-1.5,50,-0.14145785443491343,0.6221489767420698,-0.7636068311769832,0.02806311304564971,0.016436898229715422,1.0105517950164935,-0.5246982675807327,8,8,0.75,-0.006931374724456207,0.2822677925211098,-0.5011476979766805,-999.0
AMD,-2.5,20,0.0,0.5001056191821842,-0.5001056191821842,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,-999.0
AMD,-2.5,10,-0.0517731978168835,0.6782043118470997,-0.7299775096639832,-0.23084618334946458,-0.03664889649884343,0.7660646055793184,-0.1413514437416361,1,1,0.0,-0.050835239953495814,0.018411967779056387,-2.811931806429485,-999.0
AMZN,-2.5,20,0.2429284903038027,0.20029172224864222,0.04263676805516048,0.4696849528640464,0.23703287873525344,1.3343482962740056,-0.1870302918180613,6,6,0.5,0.04038923539375142,0.09778812572759023,2.4842330139400777,-999.0
GOOGL,-2.0,50,0.11326071901816914,0.24297067758671376,-0.12970995856854461,0.27849939830606424,0.18299903122497518,1.1061423614471715,-0.23413119533691418,6,6,0.5,0.020374814856949402,0.20989143546441497,0.539615724517599,-999.0
AMZN,-1.5,20,-0.12089400586805243,0.20029172224864222,-0.32118572811669466,-0.030949644363712475,-0.023841296755093146,0.9899934438383383,-0.4159398736705422,17,17,0.5882352941176471,-0.0035314820895429293,0.3084982537834691,-0.3918790605307813,-999.0
AMZN,-1.0,50,-0.2741081297016328,0.2774213631103417,-0.5515294928119745,-0.22054963974120245,-0.17887565409541606,0.9356666822946196,-0.503145696910566,7,7,0.5714285714285714,-0.04454148087818569,0.32689987937273823,-0.8385078949175409,-999.0
AMZN,-1.0,20,-0.060638046465923634,0.20029172224864222,-0.26092976871456586,0.05840677688747068,0.04785253657368045,1.0181687118698783,-0.41405743149275875,20,20,0.65,0.0015225220784328363,0.33760186263096625,-0.17961407556630482,-999.0
GOOGL,-1.5,50,0.20074118913386552,0.24297067758671376,-0.04222948845284824,0.38520055114790613,0.29893030364645123,1.1297907130178468,-0.247429245888535,9,9,0.6666666666666666,0.023381795784957003,0.27261761158021713,0.7363471052742235,-999.0
META,-2.5,10,-0.03267517482950222,0.8037218787614215,-0.8363970535909238,-0.05645260469578825,-0.017972104143969037,0.9551672001827983,-0.19546513250946795,3,3,0.6666666666666666,-0.007109095729820288,0.03682393555811277,-0.8873352164636696,-999.0
META,-2.5,20,0.480552935383894,0.6763885119286615,-0.19583557654476746,0.6808965836726802,0.46681726447081695,1.388966078922535,-0.21544129059624328,9,9,0.7777777777777778,0.048981633188633654,0.1350407450523865,3.5585773404721115,-999.0
META,-2.5,50,0.12920881076579005,0.6221489767420698,-0.49294016597627976,0.28695096774424816,0.11498367931974267,1.1542402894424213,-0.4221982556271612,4,4,0.75,0.04705393270110145,0.15922798552472858,0.8114704857942421,-999.0
